"","date","dji"
"274",1897-06-25,43.28
"275",1897-06-28,44.61
"276",1897-06-29,44.27
"277",1897-06-30,44.1
"278",1897-07-01,44.21
"279",1897-07-02,44.18
"280",1897-07-06,43.6
"281",1897-07-07,44.07
"282",1897-07-08,43.92
"283",1897-07-09,44.16
"284",1897-07-12,45.05
"285",1897-07-13,45.61
"286",1897-07-14,45.71
"287",1897-07-15,45.27
"288",1897-07-16,45.48
"289",1897-07-19,46.45
"290",1897-07-20,46.76
"291",1897-07-21,46.95
"292",1897-07-22,47.73
"293",1897-07-23,47.88
"294",1897-07-26,47.71
"295",1897-07-27,47.11
"296",1897-07-28,47.86
"297",1897-07-29,47.7
"298",1897-07-30,47.95
"299",1897-08-02,48.84
"300",1897-08-03,50.1
"301",1897-08-04,50.74
"302",1897-08-05,51.25
"303",1897-08-06,51.72
"304",1897-08-09,51.32
"305",1897-08-10,51.73
"306",1897-08-11,51.8
"307",1897-08-12,51.97
"308",1897-08-13,51.5
"309",1897-08-16,52.19
"310",1897-08-17,51.55
"311",1897-08-18,51.79
"312",1897-08-19,51.8
"313",1897-08-20,51.65
"314",1897-08-23,52.39
"315",1897-08-24,52.53
"316",1897-08-25,52.13
"317",1897-08-26,52.56
"318",1897-08-27,52.92
"319",1897-08-30,53.23
"320",1897-08-31,54.81
"321",1897-09-01,55.44
"322",1897-09-02,55.77
"323",1897-09-03,55.64
"324",1897-09-07,55.75
"325",1897-09-08,55.6
"326",1897-09-09,55.81
"327",1897-09-10,55.82
"328",1897-09-13,54.61
"329",1897-09-14,55.35
"330",1897-09-15,55.62
"331",1897-09-16,55.27
"332",1897-09-17,55.46
"333",1897-09-20,54.66
"334",1897-09-21,52.53
"335",1897-09-22,53.45
"336",1897-09-23,53.6
"337",1897-09-24,52.48
"338",1897-09-27,52.93
"339",1897-09-28,52.31
"340",1897-09-29,51.9
"341",1897-09-30,50.98
"342",1897-10-01,51.54
"343",1897-10-04,52.66
"344",1897-10-05,52.26
"345",1897-10-06,51.79
"346",1897-10-07,51.37
"347",1897-10-08,51.64
"348",1897-10-11,50.64
"349",1897-10-12,48.64
"350",1897-10-13,49.35
"351",1897-10-14,48.79
"352",1897-10-15,48.42
"353",1897-10-18,49.2
"354",1897-10-19,49.84
"355",1897-10-20,50.39
"356",1897-10-21,49.82
"357",1897-10-22,50
"358",1897-10-25,48.76
"359",1897-10-26,49.1
"360",1897-10-27,48.6
"361",1897-10-28,48.46
"362",1897-10-29,48.81
"363",1897-11-01,49.11
"364",1897-11-03,47.67
"365",1897-11-04,47.31
"366",1897-11-05,45.73
"367",1897-11-08,45.65
"368",1897-11-09,46.53
"369",1897-11-10,47.12
"370",1897-11-11,46.19
"371",1897-11-12,46.44
"372",1897-11-15,46.47
"373",1897-11-16,47.05
"374",1897-11-17,46.83
"375",1897-11-18,46.99
"376",1897-11-19,47.27
"377",1897-11-22,46.89
"378",1897-11-23,46.63
"379",1897-11-24,46.21
"380",1897-11-26,46.7
"381",1897-11-29,46.8
"382",1897-11-30,47.46
"383",1897-12-01,48.41
"384",1897-12-02,48.31
"385",1897-12-03,48.31
"386",1897-12-06,48.79
"387",1897-12-07,49.46
"388",1897-12-08,49.39
"389",1897-12-09,49.6
"390",1897-12-10,49.18
"391",1897-12-13,49.81
"392",1897-12-14,49.67
"393",1897-12-15,49.02
"394",1897-12-16,48.54
"395",1897-12-17,48.14
"396",1897-12-20,48.45
"397",1897-12-21,48.25
"398",1897-12-22,48.54
"399",1897-12-23,48.84
"400",1897-12-24,49.39
"401",1897-12-27,49.29
"402",1897-12-28,49.34
"403",1897-12-29,49.33
"404",1897-12-30,49.21
"405",1897-12-31,49.41
"406",1898-01-03,49.31
"407",1898-01-04,48.91
"408",1898-01-05,49.53
"409",1898-01-06,50.18
"410",1898-01-07,50.67
"411",1898-01-10,50.53
"412",1898-01-11,50.33
"413",1898-01-12,50.19
"414",1898-01-13,49.85
"415",1898-01-14,49.63
"416",1898-01-17,49.36
"417",1898-01-18,48.81
"418",1898-01-19,49.28
"419",1898-01-20,49.06
"420",1898-01-21,48.92
"421",1898-01-24,48
"422",1898-01-25,48.66
"423",1898-01-26,49.53
"424",1898-01-27,49.78
"425",1898-01-28,49.32
"426",1898-01-31,50.01
"427",1898-02-01,49.76
"428",1898-02-02,49.54
"429",1898-02-03,49.54
"430",1898-02-04,49.82
"431",1898-02-07,50.11
"432",1898-02-08,49.62
"433",1898-02-09,49.86
"434",1898-02-10,50.16
"435",1898-02-11,50.14
"436",1898-02-14,49.49
"437",1898-02-15,50.04
"438",1898-02-16,48.97
"439",1898-02-17,49.2
"440",1898-02-18,48.59
"441",1898-02-21,47.11
"442",1898-02-23,46.16
"443",1898-02-24,44.67
"444",1898-02-25,45.31
"445",1898-02-28,46.17
"446",1898-03-01,47.47
"447",1898-03-02,46.58
"448",1898-03-03,46.55
"449",1898-03-04,46.16
"450",1898-03-07,44.86
"451",1898-03-08,45.3
"452",1898-03-09,45.51
"453",1898-03-10,45.38
"454",1898-03-11,44.44
"455",1898-03-14,44.73
"456",1898-03-15,44.41
"457",1898-03-16,45.53
"458",1898-03-17,44.55
"459",1898-03-18,44.86
"460",1898-03-21,44.5
"461",1898-03-22,43.45
"462",1898-03-23,43.22
"463",1898-03-24,42.73
"464",1898-03-25,42
"465",1898-03-28,45.34
"466",1898-03-29,44.49
"467",1898-03-30,46.15
"468",1898-03-31,45.42
"469",1898-04-01,44.14
"470",1898-04-04,45.58
"471",1898-04-05,45.06
"472",1898-04-06,46.02
"473",1898-04-07,45.98
"474",1898-04-08,45.48
"475",1898-04-11,45.95
"476",1898-04-12,46.32
"477",1898-04-13,45.19
"478",1898-04-14,46.06
"479",1898-04-15,45.37
"480",1898-04-18,44.92
"481",1898-04-19,44.48
"482",1898-04-20,44.56
"483",1898-04-21,43.27
"484",1898-04-22,43.87
"485",1898-04-25,44.02
"486",1898-04-26,44.36
"487",1898-04-27,44.4
"488",1898-04-28,45.01
"489",1898-04-29,45.75
"490",1898-05-02,48.6
"491",1898-05-03,48.3
"492",1898-05-05,49.43
"493",1898-05-06,49.16
"494",1898-05-09,51.05
"495",1898-05-10,50.46
"496",1898-05-11,51.63
"497",1898-05-12,51.09
"498",1898-05-13,50.82
"499",1898-05-16,50.33
"500",1898-05-17,51.26
"501",1898-05-18,50.55
"502",1898-05-19,51.04
"503",1898-05-20,50.74
"504",1898-05-23,51.73
"505",1898-05-24,52.29
"506",1898-05-25,51.87
"507",1898-05-26,51.9
"508",1898-05-27,52.08
"509",1898-05-31,52.74
"510",1898-06-01,52.87
"511",1898-06-02,53.36
"512",1898-06-03,52.77
"513",1898-06-06,53.33
"514",1898-06-07,53.3
"515",1898-06-08,53.15
"516",1898-06-09,53.12
"517",1898-06-10,53.71
"518",1898-06-13,52.61
"519",1898-06-14,52.2
"520",1898-06-15,50.87
"521",1898-06-16,51.77
"522",1898-06-17,52.13
"523",1898-06-20,51.9
"524",1898-06-21,51.73
"525",1898-06-22,51.38
"526",1898-06-23,51.74
"527",1898-06-24,52.01
"528",1898-06-27,52.66
"529",1898-06-28,52.44
"530",1898-06-29,52.79
"531",1898-06-30,52.62
"532",1898-07-01,53
"533",1898-07-05,52.99
"534",1898-07-06,52.78
"535",1898-07-07,53.09
"536",1898-07-08,53.25
"537",1898-07-11,53.35
"538",1898-07-12,53.16
"539",1898-07-13,52.61
"540",1898-07-14,53.15
"541",1898-07-15,52.53
"542",1898-07-18,52.27
"543",1898-07-19,52.32
"544",1898-07-20,52.64
"545",1898-07-21,53.13
"546",1898-07-22,53.01
"547",1898-07-25,53.67
"548",1898-07-26,54.17
"549",1898-07-27,53.78
"550",1898-07-28,53.85
"551",1898-07-29,54.02
"552",1898-08-01,54.6
"553",1898-08-02,55.26
"554",1898-08-03,55.46
"555",1898-08-04,55.26
"556",1898-08-05,55.85
"557",1898-08-08,56.31
"558",1898-08-09,56.3
"559",1898-08-10,56.61
"560",1898-08-11,56.55
"561",1898-08-12,56.21
"562",1898-08-15,57.5
"563",1898-08-16,58.45
"564",1898-08-17,58.89
"565",1898-08-18,58.08
