"","permno","date","bidlo","askhi","openprc","prc","vol"
"133",14593,2015-07-14,125.040000915527,126.370002746582,126.040000915527,125.610000610352,31768139
"134",14593,2015-07-15,125.580001831055,127.150001525879,125.720001220703,126.819999694824,34190954
"135",14593,2015-07-16,127.349998474121,128.570007324219,127.73999786377,128.509994506836,37226385
"136",14593,2015-07-17,128.309997558594,129.619995117188,129.080001831055,129.619995117188,46174710
"137",14593,2015-07-20,130.699996948242,132.970001220703,130.970001220703,132.070007324219,58907313
"138",14593,2015-07-21,130.320007324219,132.919998168945,132.850006103516,130.75,76758428
"139",14593,2015-07-22,121.98999786377,125.5,121.98999786377,125.220001220703,115475475
"140",14593,2015-07-23,125.059997558594,127.089996337891,126.199996948242,125.160003662109,50989452
"141",14593,2015-07-24,123.900001525879,125.73999786377,125.319999694824,124.5,42162332
"142",14593,2015-07-27,122.120002746582,123.610000610352,123.089996337891,122.769996643066,44479830
"143",14593,2015-07-28,122.550003051758,123.910003662109,123.379997253418,123.379997253418,33618097
"144",14593,2015-07-29,122.269996643066,123.5,123.150001525879,122.98999786377,37011653
"145",14593,2015-07-30,121.709999084473,122.569900512695,122.319999694824,122.370002746582,33628268
"146",14593,2015-07-31,120.910003662109,122.642501831055,122.599998474121,121.300003051758,42885153
"147",14593,2015-08-03,117.519996643066,122.569999694824,121.5,118.440002441406,69975968
"148",14593,2015-08-04,113.25,117.699996948242,117.419998168945,114.639999389648,124441379
"149",14593,2015-08-05,112.099998474121,117.440002441406,112.949996948242,115.400001525879,99406133
"150",14593,2015-08-06,114.11499786377,116.5,115.970001220703,115.129997253418,52903040
"151",14593,2015-08-07,114.5,116.25,114.580001831055,115.519996643066,38670405
"152",14593,2015-08-10,116.529998779297,119.98999786377,116.529998779297,119.720001220703,54951997
"153",14593,2015-08-11,113.330001831055,118.180000305176,117.809997558594,113.48999786377,97082814
"154",14593,2015-08-12,109.629997253418,115.419998168945,112.529998779297,115.23999786377,101685460
"155",14593,2015-08-13,114.540000915527,116.400001525879,116.040000915527,115.150001525879,48535789
"156",14593,2015-08-14,114.01000213623,116.309997558594,114.319999694824,115.959999084473,42929516
"157",14593,2015-08-17,115.5,117.650001525879,116.040000915527,117.160003662109,40884866
"158",14593,2015-08-18,116.01000213623,117.440002441406,116.430000305176,116.5,34561708
"159",14593,2015-08-19,114.680000305176,116.519996643066,116.099998474121,115.01000213623,48286544
"160",14593,2015-08-20,111.629997253418,114.349998474121,114.080001831055,112.650001525879,68546652
"161",14593,2015-08-21,105.644996643066,111.900001525879,110.430000305176,105.76000213623,128275475
"162",14593,2015-08-24,92,108.800003051758,94.870002746582,103.120002746582,162268647
"163",14593,2015-08-25,103.5,111.110000610352,111.110000610352,103.73999786377,103613017
"164",14593,2015-08-26,105.050003051758,109.889999389648,107.084999084473,109.690002441406,96928312
"165",14593,2015-08-27,110.019996643066,113.23999786377,112.230003356934,112.919998168945,84629356
"166",14593,2015-08-28,111.540000915527,113.309997558594,112.169998168945,113.290000915527,53164618
"167",14593,2015-08-31,112,114.529998779297,112.029998779297,112.76000213623,56229563
"168",14593,2015-09-01,107.360000610352,111.879997253418,110.150001525879,107.720001220703,76845860
"169",14593,2015-09-02,109.130996704102,112.339996337891,110.230003356934,112.339996337891,62277782
"170",14593,2015-09-03,110.040000915527,112.779998779297,112.48999786377,110.370002746582,53234219
"171",14593,2015-09-04,108.51000213623,110.449996948242,108.970001220703,109.269996643066,50051951
"172",14593,2015-09-08,110.319999694824,112.559997558594,111.650001525879,112.309997558594,55167964
"173",14593,2015-09-09,109.769996643066,114.019996643066,113.76000213623,110.150001525879,85010816
"174",14593,2015-09-10,109.900001525879,113.282501220703,110.269996643066,112.569999694824,62898631
"175",14593,2015-09-11,111.76000213623,114.209999084473,111.790000915527,114.209999084473,49915473
"176",14593,2015-09-14,114.860000610352,116.889999389648,116.580001831055,115.309997558594,58363441
"177",14593,2015-09-15,114.419998168945,116.529998779297,115.930000305176,116.279998779297,43341255
"178",14593,2015-09-16,115.440002441406,116.540000915527,116.25,116.410003662109,37173489
"179",14593,2015-09-17,113.714996337891,116.48999786377,115.660003662109,113.919998168945,64124678
"180",14593,2015-09-18,111.870002746582,114.300003051758,112.209999084473,113.449996948242,74285591
"181",14593,2015-09-21,113.660003662109,115.370002746582,113.669998168945,115.209999084473,51976658
"182",14593,2015-09-22,112.52010345459,114.180000305176,113.379997253418,113.400001525879,50351575
"183",14593,2015-09-23,113.300003051758,114.720001220703,113.629997253418,114.319999694824,35756766
"184",14593,2015-09-24,112.370002746582,115.5,113.25,115,50220704
"185",14593,2015-09-25,114.019996643066,116.690002441406,116.440002441406,114.709999084473,56151926
"186",14593,2015-09-28,112.440002441406,114.569999694824,113.849998474121,112.440002441406,52112939
"187",14593,2015-09-29,107.860000610352,113.51000213623,112.830001831055,109.059997558594,73365384
"188",14593,2015-09-30,108.730003356934,111.540000915527,110.169998168945,110.300003051758,66473033
"189",14593,2015-10-01,107.309997558594,109.620002746582,109.069999694824,109.580001831055,63928201
"190",14593,2015-10-02,107.550003051758,111.013603210449,108.01000213623,110.379997253418,58020038
